Letter:	Damage	Duration	Instance	AOE	Knockback	Recoil
A	0.768999084	1.107126821	0.6244848	1.375269897	0.901887522	0.786048757
B	2.108296145	1.011770261	1.369675387	0.754090943	0.706464147	1.847176898
C	0.753324042	1.084559488	1.101159888	1.212513136	1.135933359	0.990033661
D	0.615953188	1.064144251	0	0.528750826	1.238390093	0.431732326
E	0.824504267	0.71222253	0.562429696	0.530832522	0.828843763	0.794625442
F	1.643462541	1.802735651	1.372746408	0.75578173	0.944064196	0.822808245
G	2.332694002	1.741380168	2.52576278	1.668706196	1.563314226	0.454173858
H	0.515822866	0.412571891	0.50266412	0.830242984	0.518537724	0.75322758
I	1.953022302	1.225640397	1.464000234	1.209033901	1.057162274	1.053005673
J	0	0	0	0	0	6.116207951
K	2.039844972	0.652613718	1.325205407	0.729607471	1.367053999	2.382938163
L	2.338482325	2.493858873	1.266015091	1.812250816	1.044795612	1.36590252
M	1.737959201	1.459580058	3.810652892	1.631777705	0.873553178	1.522707374
N	0.775644755	0.967801973	1.058201058	0.998751561	1.091617934	1.22324159
O	0.62743567	1.338249169	0.815239545	0.673259624	0.840983951	0.977290219
P	0.27127472	1.301846018	0	2.03760843	0.545404963	0.47535295
Q	0	0	0	5.617977528	0	0
R	1.311085666	0.838919137	1.022111683	1.125471291	1.757314823	1.531604662
S	0.661687468	0.952630451	2.256826901	1.508777535	1.16404756	1.159470702
T	0.751245334	0.831974442	0.675766996	0.682094402	0.697107006	1.113878931
U	0.379391456	0.546209307	1.478852411	1.017749552	2.288329519	0.997207818
V	0.534245112	0	0	1.146526026	1.074113856	0.936154278
W	1.109237732	0.425858104	0.43237634	0.476099791	1.33809099	0.777484062
X	6.980802792	0	0	0	0	0
Y	0.265766604	0	0.517973687	0.570353049	0	0.465701113
Z	0	0	0	0	0	0
