Letter:	Damage	Duration	Instance	AOE	Knockback	Recoil
A	0.8	1.1	0.6	1.3	0.9	0.8
B	1.5	1	1.2	0.8	0.8	1.7
C	0.9	1.1	1.1	1.2	1.1	1
D	0.8	1.05	0.6	0.6	1.2	0.6
E	1	0.9	0.7	0.6	0.9	0.8
F	1.3	1.5	1.3	0.8	1	0.9
G	1.5	1.3	2.2	1.5	1.4	0.6
H	0.7	0.5	0.6	0.8	0.6	0.8
I	2	1.2	1.4	1.2	1.1	1.1
J	1	0.8	0.6	0.8	0.6	4
K	1.2	0.9	1.2	0.6	1.2	2
L	2	2.2	1.2	2	1	1.2
M	1.4	1.2	3	1.9	0.9	1.2
N	0.9	0.9	1.1	1	1.1	1.2
O	0.7	1.3	0.8	0.7	0.8	1
P	0.6	1.1	0.6	2	0.6	0.6
Q	0.6	0.6	0.6	4	0.6	0.6
R	1.2	0.8	1	1.1	1.5	1.4
S	0.8	0.9	2	1.3	1.1	1.1
T	0.8	0.8	0.7	0.7	0.7	1.1
U	0.5	0.6	1.3	0.9	2	1
V	0.7	1	0.6	1.1	1.1	1
W	1.1	0.6	0.6	0.6	1.4	0.8
X	3	0.4	0.6	1	0.6	0.6
Y	0.6	0.6	0.6	0.7	0.6	0.6
Z	0.9	0.6	0.6	0.6	0.6	0.6
